order_id,customer_name,category,product,price,quantity,order_date,region,payment_method,rating
1001,Bilal Ahmed,Electronics,Wireless Mouse,223.76,2,2024-08-16,Central,Credit Card,
1002,Rabia Raza,Clothing,Denim Jacket,154.08,1,2024-07-22,South,Cash on Delivery,
1003,Hassan Iqbal,Clothing,Leather Belt,129.67,3,2024-06-08,North,Credit Card,2.0
1004,Rabia Ahmed,Sports,Water Bottle,243.1,6,2025-04-15,West,Credit Card,4.0
1005,Zainab Shah,Home & Kitchen,Storage Bin,61.73,1,2024-02-16,North,Debit Card,4.0
1006,Ahmed Chaudhry,Home & Kitchen,Non-stick Pan,114.2,2,2024-09-30,South,Bank Transfer,3.0
1007,Sara Iqbal,Sports,Resistance Bands,206.96,1,2024-08-22,West,PayPal,4.0
1008,Bilal Shah,Home & Kitchen,Non-stick Pan,198.35,4,2025-04-14,South,Debit Card,4.0
1009,Imran Javed,Books,History Book,122.82,2,2024-05-21,North,Credit Card,4.0
1010,Imran Shah,Books,History Book,23.74,4,2025-04-24,Central,Credit Card,
1011,Mariam Raza,Sports,Water Bottle,231.74,3,2024-04-24,South,Cash on Delivery,5.0
1012,Mariam Butt,Home & Kitchen,Storage Bin,229.78,5,2024-04-18,Central,Debit Card,4.0
1013,Fatima Iqbal,Sports,Yoga Mat,181.69,4,2024-01-20,East,Debit Card,5.0
1014,Bilal Malik,Electronics,Bluetooth Speaker,220.91,1,2025-06-29,West,Bank Transfer,4.0
1015,Mariam Raza,Books,Cookbook,279.03,6,2024-07-24,East,Cash on Delivery,4.0
1016,Faisal Hussain,Electronics,Webcam,11.21,5,2024-08-23,North,Credit Card,
1017,Sana Hussain,Electronics,Webcam,25.9,2,2024-10-12,Central,Debit Card,
1018,Hina Raza,Books,Programming Handbook,61.17,1,2025-03-17,West,Cash on Delivery,5.0
1019,Zainab Hussain,Electronics,Wireless Mouse,123.77,3,2024-04-21,South,Bank Transfer,5.0
1020,Rabia Ahmed,Books,Cookbook,262.97,1,2025-03-29,North,Bank Transfer,5.0
1021,Kamran Khan,Clothing,Denim Jacket,124.89,4,2024-08-06,South,Cash on Delivery,5.0
1022,Bilal Hussain,Books,Self-Help Guide,129.79,6,2025-05-13,East,Debit Card,5.0
1023,Imran Malik,Home & Kitchen,Ceramic Mug Set,19.79,4,2025-05-29,North,Bank Transfer,4.0
1024,Faisal Chaudhry,Electronics,Laptop Stand,124.11,5,2024-09-09,North,Bank Transfer,4.0
1025,Zainab Shah,Sports,Water Bottle,280.74,2,2024-11-17,West,Debit Card,
1026,Ahmed Butt,Electronics,Wireless Mouse,140.19,5,2024-04-12,South,Bank Transfer,5.0
1027,Rabia Shah,Electronics,Laptop Stand,114.01,2,2025-03-24,Central,Bank Transfer,5.0
1028,Usman Shah,Electronics,USB-C Cable,83.02,1,2024-06-08,Central,Debit Card,3.0
1029,Nadia Shah,Home & Kitchen,Storage Bin,149.12,1,2024-04-04,North,Credit Card,3.0
1030,Rabia Khan,Home & Kitchen,Non-stick Pan,223.66,5,2025-03-13,North,Credit Card,4.0
1031,Mariam Iqbal,Sports,Jump Rope,48.69,2,2024-02-12,North,PayPal,3.0
1032,Zainab Malik,Home & Kitchen,Storage Bin,265.82,4,2024-06-07,South,Cash on Delivery,5.0
1033,Kamran Khan,Books,Cookbook,83.71,6,2024-04-20,West,Debit Card,3.0
1034,Kamran Iqbal,Home & Kitchen,Non-stick Pan,70.76,6,2024-07-16,East,Credit Card,5.0
1035,Ayesha Chaudhry,Sports,Water Bottle,282.07,1,2024-09-24,East,Credit Card,4.0
1036,Kamran Chaudhry,Home & Kitchen,Throw Pillow,183.83,5,2024-04-28,South,,5.0
1037,Amna Iqbal,Sports,Resistance Bands,112.45,1,2024-12-04,North,PayPal,4.0
1038,Kamran Malik,Books,Self-Help Guide,168.55,2,2025-03-06,Central,Bank Transfer,5.0
1039,Tariq Javed,Home & Kitchen,LED Desk Lamp,67.0,5,2024-11-25,West,Debit Card,4.0
1040,Ahmed Hussain,Clothing,Leather Belt,30.01,5,2024-12-09,East,Debit Card,3.0
1041,Nadia Chaudhry,Books,History Book,255.67,1,2025-04-11,South,Cash on Delivery,5.0
1042,Imran Javed,Electronics,Bluetooth Speaker,234.63,2,2024-06-29,North,Bank Transfer,3.0
1043,Tariq Chaudhry,Clothing,Wool Sweater,201.94,5,2024-11-20,Central,Cash on Delivery,4.0
1044,Imran Javed,Books,Programming Handbook,81.46,2,2024-10-10,South,PayPal,5.0
1045,Bilal Malik,Home & Kitchen,LED Desk Lamp,99.31,5,2024-03-23,South,Cash on Delivery,4.0
1046,Hassan Raza,Books,Self-Help Guide,165.07,4,2024-03-04,West,Bank Transfer,5.0
